Word,TF-IDF
twitch,0.40799234451545674
bush,0.3946695097695603
fbi,0.32252965469364436
united,0.3210441856497519
said,0.31260990539042266
auditions,0.3092835753507593
speak,0.3092835753507593
palin,0.3092835753507593
urges,0.3092835753507593
sarah,0.3092835753507593
cabinet,0.3092835753507593
ugly,0.3045602184624995
mudslinging,0.3045602184624995
threatens,0.3045602184624995
ramp,0.3045602184624995
weeks,0.3045602184624995
states,0.2945970258322786
greece,0.2945970258322786
donald,0.28642609255062945
baby,0.28380523775163263
clintons,0.27947098423319694
few,0.27947098423319694
going,0.27947098423319694
criminal,0.2730381772961277
lying,0.2730381772961277
confirms,0.2730381772961277
perjury,0.2730381772961277
inquiry,0.2730381772961277
back,0.2657280695401879
trump,0.2657280695401879
obscured,0.25449228101236054
everyone,0.25449228101236054
smaller,0.25449228101236054
injustice,0.25449228101236054
pulse,0.25449228101236054
sadistic,0.25449228101236054
noor,0.25449228101236054
salman,0.25449228101236054
wrong,0.25449228101236054
prosecution,0.25449228101236054
massacre,0.25449228101236054
completely,0.25449228101236054
american,0.2517063285327352
country,0.2517063285327352
possible,0.2505456836332764
up,0.24786228728565204
next,0.24786228728565204
bad,0.24247462861782218
look,0.24247462861782218
being,0.24247462861782218
seems,0.24247462861782218
grounds,0.24247462861782218
possibly,0.24247462861782218
forgotten,0.24247462861782218
cable,0.2424591182485744
rules,0.2424591182485744
pressure,0.2424591182485744
consumers,0.2424591182485744
14,0.2424591182485744
elizabeth,0.2424591182485744
saved,0.2424591182485744
changing,0.2424591182485744
senators,0.2424591182485744
warren,0.2424591182485744
billion,0.2424591182485744
michael,0.23458700540883237
flynn,0.23458700540883237
part,0.23458700540883237
story,0.23352757170100713
abound,0.23258989493571058
heads,0.23258989493571058
seen,0.23258989493571058
predictable,0.23258989493571058
acrimonious,0.23258989493571058
conclusion,0.23258989493571058
questions,0.23258989493571058
uniting,0.23258989493571058
dems,0.23258989493571058
potentially,0.23258989493571058
figure,0.23258989493571058
after,0.22248568363693072
months,0.22248568363693072
she,0.22217256372961652
got,0.2186528737247009
comparison,0.21759011915368198
chuck,0.21759011915368198
trolls,0.21759011915368198
where,0.21759011915368198
howling,0.21759011915368198
moon,0.21759011915368198
schumer,0.21759011915368198
democrat,0.21759011915368198
toward,0.2134294727936788
key,0.2134294727936788
liberal,0.2083143062528996
another,0.20711516161469237
scams,0.20399617225772837
folks,0.20399617225772837
boycott,0.20399617225772837
gambling,0.20399617225772837
sites,0.20399617225772837
several,0.20399617225772837
200,0.20399617225772837
streamers,0.20399617225772837
scammed,0.20399617225772837
platform,0.20399617225772837
streamer,0.20399617225772837
consider,0.20399617225772837
under,0.2035432625267415
know,0.19966535703935234
could,0.19733475488478014
may,0.19732213197684487
former,0.19613583352153702
investigation,0.19613583352153702
said,0.19613583352153702
warren,0.18929019571015707
former,0.18835292000835677
bans,0.18719126000263198
caused,0.18719126000263198
popular,0.18719126000263198
vladimir,0.18694753592444666
primary,0.18067451479481506
gop,0.1770828274830315
claims,0.17526798500747065
000,0.17526798500747065
people,0.17526798500747065
putin,0.16902277381011702
house,0.1683782076747276
man,0.16601957441642776
democratic,0.1615140926527833
director,0.16126482734682218
actually,0.16052209282487595
basis,0.16052209282487595
risks,0.16052209282487595
risk,0.16052209282487595
washington,0.16052209282487595
usually,0.16052209282487595
yelling,0.16052209282487595
becoming,0.16052209282487595
given,0.16052209282487595
end,0.16052209282487595
reason,0.16052209282487595
concerns,0.16052209282487595
white,0.15849242629554053
america,0.15109801169578735
over,0.15109801169578735
bernie,0.15025311176699374
running,0.1472985129161393
partnership,0.1472985129161393
trans,0.1472985129161393
pacific,0.1472985129161393
sanders,0.14320388536952638
out,0.14165816049727784
around,0.1379162336588024
years,0.1379162336588024
president,0.13423121139889138
people,0.12469265375006573
comey,0.12099469528933289
donald,0.09937161541367726
trump,0.08909133766584933


